text,category,predicted_intent,confidence,needs_human_review,correct,top_1_intent,top_1_score,top_2_intent,top_2_score,top_3_intent,top_3_score
I tried activating my bill of fare and it didn't workplace,activate_my_card,apple_pay_or_google_pay,0.09143785,True,False,apple_pay_or_google_pay,0.09143785,activate_my_card,0.06838417,card_not_working,0.058628764
Can I use my card anywere?,card_acceptance,card_not_working,0.13342968,True,False,card_not_working,0.13342968,card_acceptance,0.13275678,activate_my_card,0.09134732
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,verify_my_identity,0.13455977,True,False,verify_my_identity,0.13455977,why_verify_identity,0.08696505,top_up_by_bank_transfer_charge,0.08050745
Where is the money I topped off with?,pending_top_up,verify_source_of_funds,0.1406516,True,False,verify_source_of_funds,0.1406516,wrong_amount_of_cash_received,0.12451324,topping_up_by_card,0.11475857
How do I cancel my card? There are charges on my account that I didn't make.,cash_withdrawal_not_recognised,direct_debit_payment_not_recognised,0.16175276,True,False,direct_debit_payment_not_recognised,0.16175276,card_payment_not_recognised,0.15824199,card_payment_fee_charged,0.12336138
Can I freeze my card right now?,compromised_card,card_not_working,0.1658121,True,False,card_not_working,0.1658121,lost_or_stolen_card,0.14280693,card_delivery_estimate,0.13884899
What are your policies for card transfers?,failed_transfer,card_acceptance,0.1843022,True,False,card_acceptance,0.1843022,beneficiary_not_allowed,0.11877917,getting_spare_card,0.0654991
where is theft-top option?,automatic_top_up,lost_or_stolen_phone,0.18623245,True,False,lost_or_stolen_phone,0.18623245,topping_up_by_card,0.08258199,automatic_top_up,0.08135517
My account was charged for a withdraw I tried to make that was decline.,pending_cash_withdrawal,declined_cash_withdrawal,0.18760765,True,False,declined_cash_withdrawal,0.18760765,cash_withdrawal_not_recognised,0.14367883,pending_cash_withdrawal,0.118162364
I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,wrong_amount_of_cash_received,0.19156945,True,False,wrong_amount_of_cash_received,0.19156945,top_up_failed,0.13532136,balance_not_updated_after_cheque_or_cash_deposit,0.13451493
Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,declined_card_payment,0.2006304,True,False,declined_card_payment,0.2006304,declined_transfer,0.19343795,reverted_card_payment?,0.12265689
"I tried to take money from my card, but it didn't work. Later I saw that the transaction is still in progress. What's goign on?",pending_cash_withdrawal,cash_withdrawal_not_recognised,0.2058137,True,False,cash_withdrawal_not_recognised,0.2058137,reverted_card_payment?,0.1407661,pending_cash_withdrawal,0.08934725
How do I do an international transfer?,transfer_into_account,receiving_money,0.20688754,True,False,receiving_money,0.20688754,exchange_rate,0.0969558,transfer_timing,0.094135396
